Temperature_K,SOC,Frequency_Hz,Re_Z,Im_Z
278.15,0.1,0.001,0.0148475462321,-0.00379323564
278.15,0.1,0.001167419359,0.0149034200058,-0.00322575663
278.15,0.1,0.001362867959,0.0148381921216,-0.00296692047
278.15,0.1,0.001591038439,0.0146426678743,-0.00263593337
278.15,0.1,0.001857409075,0.0145811038352,-0.00243672651
278.15,0.1,0.002168375311,0.0144744243132,-0.00213048209
278.15,0.1,0.002531403315,0.0144530795858,-0.00196958834
278.15,0.1,0.002955209235,0.0142967612622,-0.00198831852
278.15,0.1,0.003449968471,0.0142375254971,-0.00174918087
278.15,0.1,0.00402755998,0.0139349473541,-0.00165987867
278.15,0.1,0.004701851489,0.0140596634634,-0.00160541868
278.15,0.1,0.005489032451,0.0138330061461,-0.0013470039
278.15,0.1,0.006408002744,0.0137850359242,-0.00128538795
278.15,0.1,0.007480826455,0.0136368803361,-0.00113370766
278.15,0.1,0.008733261624,0.0135386061968,-0.000890323926
278.15,0.1,0.01019537869,0.0135234484065,-0.000871543166
278.15,0.1,0.01190228245,0.0134840039588,-0.000797251253
278.15,0.1,0.01389495494,0.0133589490029,-0.000817068416
278.15,0.1,0.01622123939,0.0133128098347,-0.000794383863
278.15,0.1,0.01893698889,0.0133245830151,-0.00056509286
278.15,0.1,0.02210740743,0.0131819894342,-0.000608019353
278.15,0.1,0.0258086154,0.0131042121131,-0.000530707546
278.15,0.1,0.03012947725,0.0131983062706,-0.000509838459
278.15,0.1,0.03517373501,0.0130991142434,-0.000434719024
278.15,0.1,0.04106249917,0.0129907090259,-0.000243870616
278.15,0.1,0.04793715646,0.013039189608,-0.000387564357
278.15,0.1,0.05596276445,0.01303976619,-0.000353791464
278.15,0.1,0.0653320146,0.0129721284622,-0.000293754346
278.15,0.1,0.07626985859,0.0129340675809,-0.000263042288
278.15,0.1,0.08903890941,0.0130165393627,-0.000337265334
278.15,0.1,0.1039457465,0.0130566451124,-0.000354414311
278.15,0.1,0.1213482768,0.0129685655385,-0.000258857431
278.15,0.1,0.1416643275,0.0129219482989,-0.000219038506
278.15,0.1,0.1653816783,0.0129825827357,-0.000242488892
278.15,0.1,0.1930697729,0.0129924123404,-0.000244396432
278.15,0.1,0.2253933905,0.0129157120484,-0.000230150185
278.15,0.1,0.2631286074,0.0129601587926,-0.000186252774
278.15,0.1,0.3071814301,0.0129827691573,-0.000161508922
278.15,0.1,0.3586095482,0.0128930657866,-0.000253688797
278.15,0.1,0.4186477288,0.0128454228759,-0.000179914792
278.15,0.1,0.4887374632,0.0129121492872,-0.000119249053
278.15,0.1,0.5705615759,0.0128978461706,-0.000149445965
278.15,0.1,0.6660846291,0.0129450170641,-0.000229914114
278.15,0.1,0.7776000906,0.0127841429846,-0.00016796442
278.15,0.1,0.9077853992,0.0128167858745,-0.000150724899
278.15,0.1,1.059766249,0.0127979152752,-0.000106512736
278.15,0.1,1.237191635,0.012732640406,-0.000268959207
278.15,0.1,1.444321465,0.0128439712443,-0.000131492515
278.15,0.1,1.686128838,0.012860986611,-0.000218526302
278.15,0.1,1.968419447,0.0127702494911,-0.000192069111
278.15,0.1,2.297970969,0.012895727791,-0.00018065839
278.15,0.1,2.682695795,0.0128475185499,-0.000302681578
278.15,0.1,3.131831005,0.0128211000888,-0.000324779339
278.15,0.1,3.656160144,0.0127903180376,-0.000310677389
278.15,0.1,4.268272131,0.0128062283201,-0.000291564548
278.15,0.1,4.982863515,0.0126373587702,-0.000411114043
278.15,0.1,5.817091329,0.0127331971877,-0.000509396133
278.15,0.1,6.79098503,0.012698686365,-0.000511316921
278.15,0.1,7.927927389,0.0125081861415,-0.000494711358
278.15,0.1,9.25521591,0.0125927357709,-0.000501064376
278.15,0.1,10.80471822,0.0124968033227,-0.000663015785
278.15,0.1,12.61363722,0.0124921773342,-0.000709678864
278.15,0.1,14.72540428,0.0123358882126,-0.000757542866
278.15,0.1,17.19072202,0.0122699028996,-0.000808064625
278.15,0.1,20.06878168,0.0121886857305,-0.000904426882
278.15,0.1,23.42868424,0.01200169486,-0.000911368117
278.15,0.1,27.35109953,0.011969661569,-0.000898426337
278.15,0.1,31.93020308,0.0118020708043,-0.000918521707
278.15,0.1,37.2759372,0.0117102685064,-0.000922625664
278.15,0.1,43.51665071,0.0115265191637,-0.000967545259
278.15,0.1,50.80218047,0.0114999152785,-0.00091371455
278.15,0.1,59.30744895,0.0113610067046,-0.000884950472
278.15,0.1,69.23666403,0.0112156862643,-0.000739882847
278.15,0.1,80.82822193,0.0111710619075,-0.000666882558
278.15,0.1,94.36043101,0.0111268588821,-0.000675007031
278.15,0.1,110.1581939,0.0110876174663,-0.00055227539
278.15,0.1,128.6008081,0.0108445688214,-0.000602876114
278.15,0.1,150.1310729,0.0109289008155,-0.000552539766
278.15,0.1,175.2659209,0.0108632196834,-0.000560482835
278.15,0.1,204.6088289,0.0107958733707,-0.000435696245
278.15,0.1,238.8643079,0.0107141956714,-0.000434242254
278.15,0.1,278.8548172,0.0108069354826,-0.000370665619
278.15,0.1,325.5405119,0.0106452849042,-0.000319038347
278.15,0.1,380.0422956,0.010718568899,-0.000330462525
278.15,0.1,443.6687331,0.0107343241192,-0.000352396865
278.15,0.1,517.9474679,0.0105571777415,-0.00027257646
278.15,0.1,604.6619009,0.010604210691,-0.000252946197
278.15,0.1,705.8940087,0.0105291170242,-0.000227494796
278.15,0.1,824.074331,0.0105898052558,-0.000173705943
278.15,0.1,962.0403271,0.010635348638,-0.000200292215
278.15,0.1,1123.104502,0.0106407455308,-0.000182061714
278.15,0.1,1311.133937,0.0104198218878,-5.52744073e-05
278.15,0.1,1530.643141,0.0104629385775,-6.55701743e-05
278.15,0.1,1786.902434,0.0105106468594,-9.97509779e-05
278.15,0.1,2086.064493,0.0105381149093,-0.000114572713
278.15,0.1,2435.312073,0.0104603730748,-5.75125918e-05
278.15,0.1,2843.030459,0.0103833781388,2.00953673e-05
278.15,0.1,3319.008796,0.0104224857256,8.24090877e-05
278.15,0.1,3874.67512,0.010391660788,0.000205840214
278.15,0.1,4523.370745,0.0103680678059,0.000117546632
278.15,0.1,5280.670575,0.0103272424331,0.000192703675
278.15,0.1,6164.757056,0.0103725791565,0.000228872186
278.15,0.1,7196.85673,0.0103562116266,0.000322500018
278.15,0.1,8401.749869,0.0103237678468,0.000380516109
278.15,0.1,9808.365445,0.010305891801,0.000439516743
278.15,0.1,11450.4757,0.0102401898077,0.000654989404
278.15,0.1,13367.507,0.0102709470876,0.000734861311
278.15,0.1,15605.48645,0.010348135418,0.000939539544
278.15,0.1,18218.14699,0.0102661641796,0.001017176
278.15,0.1,21268.21747,0.0101920647439,0.00125287784
278.15,0.1,24828.92881,0.0103265639686,0.00150174012
278.15,0.1,28985.77215,0.0102763893699,0.00163758418
278.15,0.1,33838.55153,0.0103508296679,0.00197575119
278.15,0.1,39503.78014,0.0102365170969,0.00244377139
278.15,0.1,46117.47768,0.0102017749346,0.00283030074
278.15,0.1,53838.43622,0.0101420311568,0.00321723761
278.15,0.1,62852.03269,0.010286185902,0.00384568096
278.15,0.1,73374.67971,0.0103519749907,0.0044929253
278.15,0.1,85659.02154,0.0101561046605,0.00529946211
278.15,0.1,100000,0.0101600587208,0.00632313732
278.15,0.3,0.001,0.0130495843935,-0.000806968655
278.15,0.3,0.001167419359,0.0129358292448,-0.000589673551
278.15,0.3,0.001362867959,0.0129467238996,-0.000699370758
278.15,0.3,0.001591038439,0.0129102998318,-0.000704280774
278.15,0.3,0.001857409075,0.0129072832237,-0.000539692821
278.15,0.3,0.002168375311,0.0129199692096,-0.000566989785
278.15,0.3,0.002531403315,0.0127983967861,-0.000529652393
278.15,0.3,0.002955209235,0.0127966992402,-0.000483255433
278.15,0.3,0.003449968471,0.0126480726253,-0.000524289274
278.15,0.3,0.00402755998,0.0126300010458,-0.000494562673
278.15,0.3,0.004701851489,0.0124105132763,-0.000651155134
278.15,0.3,0.005489032451,0.0123931344396,-0.000563391152
278.15,0.3,0.006408002744,0.0124777337732,-0.000448870578
278.15,0.3,0.007480826455,0.0123429809782,-0.000424390621
278.15,0.3,0.008733261624,0.0123737525965,-0.000353003826
278.15,0.3,0.01019537869,0.0123365907513,-0.000386699754
278.15,0.3,0.01190228245,0.0123557554406,-0.000252961321
278.15,0.3,0.01389495494,0.0123008798439,-0.000163524012
278.15,0.3,0.01622123939,0.0122941754123,-0.000218739886
278.15,0.3,0.01893698889,0.0122093853414,-0.000175093476
278.15,0.3,0.02210740743,0.0121605330607,-0.00016962295
278.15,0.3,0.0258086154,0.0121475899712,-0.000121696964
278.15,0.3,0.03012947725,0.0121531619469,-0.000144791245
278.15,0.3,0.03517373501,0.0121061312007,-0.000170424722
278.15,0.3,0.04106249917,0.0121346967294,-0.000112694268
278.15,0.3,0.04793715646,0.0121563557867,-0.000104344552
278.15,0.3,0.05596276445,0.0121720098856,-0.000190617029
278.15,0.3,0.0653320146,0.0121314931104,-7.41805097e-05
278.15,0.3,0.07626985859,0.0120311529047,-7.73624153e-05
278.15,0.3,0.08903890941,0.01213999196,-5.83912401e-05
278.15,0.3,0.1039457465,0.0121548393418,-9.67903765e-05
278.15,0.3,0.1213482768,0.0122040942608,-2.89039663e-05
278.15,0.3,0.1416643275,0.0121707416341,-1.52333658e-05
278.15,0.3,0.1653816783,0.0120942789773,-9.07920702e-05
278.15,0.3,0.1930697729,0.0120872685413,-2.54372638e-05
278.15,0.3,0.2253933905,0.0122511233815,4.83927665e-06
278.15,0.3,0.2631286074,0.0121732254389,4.80396231e-06
278.15,0.3,0.3071814301,0.0122366515206,-9.35060522e-05
278.15,0.3,0.3586095482,0.0122530575095,-9.87997597e-05
278.15,0.3,0.4186477288,0.0120728034861,-3.57661706e-05
278.15,0.3,0.4887374632,0.0121441979901,-0.000100449899
278.15,0.3,0.5705615759,0.0121470892535,0.000111019924
278.15,0.3,0.6660846291,0.0121517023527,-8.9155955e-05
278.15,0.3,0.7776000906,0.0121490624479,-9.07576249e-05
278.15,0.3,0.9077853992,0.0121268477321,-7.62964411e-06
278.15,0.3,1.059766249,0.0121234345283,-7.85104353e-05
278.15,0.3,1.237191635,0.0120200477416,-0.000195708784
278.15,0.3,1.444321465,0.0120989798091,-7.00454462e-05
278.15,0.3,1.686128838,0.0120614571841,-0.000127433123
278.15,0.3,1.968419447,0.0121117516669,-0.000107990831
278.15,0.3,2.297970969,0.0120728350595,-0.000182893699
278.15,0.3,2.682695795,0.0121350301617,-0.00015159186
278.15,0.3,3.131831005,0.0121429834338,-0.000120281878
278.15,0.3,3.656160144,0.0121071245645,-0.000129932711
278.15,0.3,4.268272131,0.0121015332775,-0.000208766606
278.15,0.3,4.982863515,0.0120806918816,-0.000204312675
278.15,0.3,5.817091329,0.0120390523158,-0.00023417169
278.15,0.3,6.79098503,0.0120450721902,-0.000199582145
278.15,0.3,7.927927389,0.012011478764,-0.000244244013
278.15,0.3,9.25521591,0.0120478063017,-0.000340009975
278.15,0.3,10.80471822,0.0120045724628,-0.000261125604
278.15,0.3,12.61363722,0.0120131043028,-0.000376763388
278.15,0.3,14.72540428,0.0118678534961,-0.000351155287
278.15,0.3,17.19072202,0.0119626952004,-0.000468453371
278.15,0.3,20.06878168,0.0118198029887,-0.000438358928
278.15,0.3,23.42868424,0.0117691020301,-0.000503486995
278.15,0.3,27.35109953,0.0117401878216,-0.000531862774
278.15,0.3,31.93020308,0.011650222391,-0.000540535948
278.15,0.3,37.2759372,0.0116243379157,-0.000573091388
278.15,0.3,43.51665071,0.0114928325715,-0.000609880871
278.15,0.3,50.80218047,0.0113795238854,-0.000622223354
278.15,0.3,59.30744895,0.0113061524055,-0.000705414186
278.15,0.3,69.23666403,0.011342811927,-0.000631107336
278.15,0.3,80.82822193,0.0111891587387,-0.000732799065
278.15,0.3,94.36043101,0.0110448732231,-0.000711892952
278.15,0.3,110.1581939,0.0110399384363,-0.000577489635
278.15,0.3,128.6008081,0.0108908061793,-0.000540544873
278.15,0.3,150.1310729,0.0110181531446,-0.000413924502
278.15,0.3,175.2659209,0.0107882619503,-0.000424593522
278.15,0.3,204.6088289,0.0108540871619,-0.000367652322
278.15,0.3,238.8643079,0.0108196376222,-0.000411653737
278.15,0.3,278.8548172,0.0106786536835,-0.000341996787
278.15,0.3,325.5405119,0.0107425499298,-0.000276512551
