Temperature_K,SOC,Frequency_Hz,Re_Z,Im_Z
298.15,0.3,0.01,0.0109869788224,-0.000223341991
298.15,0.3,0.01610262028,0.0109122811762,-0.000193208253
298.15,0.3,0.02592943797,0.0108563303614,-0.000148788298
298.15,0.3,0.04175318937,0.0108234235121,-0.000106620223
298.15,0.3,0.06723357536,0.0108053148178,-7.4605701e-05
298.15,0.3,0.1082636734,0.0107946269425,-5.23067434e-05
298.15,0.3,0.1743328822,0.0107877120158,-3.70743127e-05
298.15,0.3,0.2807216204,0.0107830068088,-2.68151073e-05
298.15,0.3,0.4520353656,0.0107796652562,-2.01690406e-05
298.15,0.3,0.7278953844,0.0107771582506,-1.6259334e-05
298.15,0.3,1.172102298,0.0107751338843,-1.45925304e-05
298.15,0.3,1.887391822,0.0107733277984,-1.50176408e-05
298.15,0.3,3.039195382,0.010771485956,-1.77305427e-05
298.15,0.3,4.893900918,0.0107692674386,-2.33160762e-05
298.15,0.3,7.880462816,0.0107660884102,-3.28212792e-05
298.15,0.3,12.68961003,0.0107608266933,-4.78253902e-05
298.15,0.3,20.43359718,0.0107512536941,-7.03576299e-05
298.15,0.3,32.90344562,0.0107331056927,-0.000102213369
298.15,0.3,52.98316906,0.010699301423,-0.000142732107
298.15,0.3,85.31678524,0.0106417438642,-0.000184561003
298.15,0.3,137.3823796,0.0105592221707,-0.000211651118
298.15,0.3,221.2216291,0.0104658236818,-0.000208653088
298.15,0.3,356.224789,0.0103835340207,-0.000175834183
298.15,0.3,573.615251,0.010323921997,-0.000127106857
298.15,0.3,923.6708572,0.0102835960555,-7.36691121e-05
298.15,0.3,1487.352107,0.0102538470291,-1.53459734e-05
298.15,0.3,2395.02662,0.0102282365623,5.77424931e-05
298.15,0.3,3856.620421,0.0102045522395,0.000162629637
298.15,0.3,6210.169419,0.0101839959335,0.000322683436
298.15,0.3,10000,0.0101672620768,0.00057133361
298.15,0.7,0.01,0.0109313997934,-0.000267500512
298.15,0.7,0.01610262028,0.0108512747444,-0.000225341276
298.15,0.7,0.02592943797,0.0107908434742,-0.000172753925
298.15,0.7,0.04175318937,0.0107540694075,-0.000124849483
298.15,0.7,0.06723357536,0.0107327072127,-8.86109963e-05
298.15,0.7,0.1082636734,0.0107193445018,-6.31069369e-05
298.15,0.7,0.1743328822,0.0107102607805,-4.5365181e-05
298.15,0.7,0.2807216204,0.0107038276735,-3.3070069e-05
298.15,0.7,0.4520353656,0.0106991357789,-2.47014913e-05
298.15,0.7,0.7278953844,0.0106955966392,-1.9243122e-05
298.15,0.7,1.172102298,0.0106928132247,-1.60557729e-05
298.15,0.7,1.887391822,0.0106905000699,-1.48159266e-05
298.15,0.7,3.039195382,0.0106884194902,-1.54978059e-05
298.15,0.7,4.893900918,0.0106863110201,-1.83879752e-05
298.15,0.7,7.880462816,0.0106837940986,-2.41306103e-05
298.15,0.7,12.68961003,0.0106801961236,-3.37959863e-05
298.15,0.7,20.43359718,0.0106742130297,-4.89129893e-05
298.15,0.7,32.90344562,0.0106632758848,-7.12521245e-05
298.15,0.7,52.98316906,0.0106426492117,-0.000101785842
298.15,0.7,85.31678524,0.0106052342291,-0.000137880157
298.15,0.7,137.3823796,0.0105452254906,-0.000169298478
298.15,0.7,221.2216291,0.0104673210513,-0.000179857124
298.15,0.7,356.224789,0.0103897142816,-0.000161119806
298.15,0.7,573.615251,0.0103287816076,-0.000121016062
298.15,0.7,923.6708572,0.0102862718731,-7.13626765e-05
298.15,0.7,1487.352107,0.010255138488,-1.44608456e-05
298.15,0.7,2395.02662,0.0102288348054,5.8098398e-05
298.15,0.7,3856.620421,0.0102048339059,0.000162780194
298.15,0.7,6210.169419,0.0101841363942,0.000322741151
298.15,0.7,10000,0.0101673306869,0.000571346815
